id,city,lat,lng,country,population
2675,Iraklio,35.325,25.1305,Greece,137154
2678,Oulu,65.0,25.47,Finland,136752
2681,Baia Mare,47.6595,23.5791,Romania,136553
2682,León,42.58,-5.57,Spain,136227
2684,Győr,47.7004,17.63,Hungary,136081
2686,Serpukhov,54.9304,37.43,Russia,135584
2692,Orsha,54.5153,30.4215,Belarus,135206
2701,Ravenna,44.4204,12.22,Italy,134631
2702,'s-Hertogenbosch,51.6833,5.3167,Netherlands,134520
2703,Nevinnomyssk,44.6201,41.95,Russia,134380
2708,Pervouralsk,56.91,59.955,Russia,133600
2710,Šiauliai,55.9386,23.325,Lithuania,133528
2715,Uppsala,59.8601,17.64,Sweden,133117
2719,Kislovodsk,43.91,42.72,Russia,132771
2724,Dimitrovgrad,54.2504,49.56,Russia,132226
2730,Opole,50.685,17.9313,Poland,131412
2732,Murom,55.5704,42.04,Russia,131287
2736,Ferrara,44.8504,11.6099,Italy,130992
2737,Novomoskovsk,54.09,38.22,Russia,130982
2738,Buzău,45.1565,26.8065,Romania,130954
2740,Pinsk,52.1279,26.0941,Belarus,130777
2744,Nikopol,47.5666,34.4062,Ukraine,130500
2763,Larissa,39.6304,22.42,Greece,128758
2765,Kamyshin,50.0804,45.4,Russia,128626
2767,Cambridge,52.2004,0.1166,United Kingdom,128488
2769,Besançon,47.23,6.03,France,128426
2786,Elbląg,54.19,19.4027,Poland,127558
2787,Panevežys,55.74,24.37,Lithuania,127405
2796,Neftekamsk,56.0835,54.2631,Russia,126805
2806,Tarragona,41.1204,1.25,Spain,126291
2816,Leeuwarden,53.2504,5.7834,Netherlands,125778
2830,Lysychansk,48.9204,38.4274,Ukraine,124421
2831,Drohobych,49.3444,23.4994,Ukraine,124269
2840,Siracusa,37.0704,15.29,Italy,123657
2852,Maastricht,50.853,5.677,Netherlands,122378
2855,Aalborg,57.0337,9.9166,Denmark,122219
2862,Sassari,40.73,8.57,Italy,120729
2877,Tetovo,42.0092,20.9701,Macedonia,119132
2879,Udine,46.07,13.24,Italy,119009
2881,Pleven,43.4238,24.6134,Bulgaria,118675
2882,Zielona Góra,51.9504,15.5,Poland,118433
2886,Berdyansk,46.7568,36.7868,Ukraine,118284
2890,Ourense,42.33,-7.87,Spain,118107
2892,Setúbal,38.53,-8.9,Portugal,117974
2898,Achinsk,56.27,90.5,Russia,117634
2904,Vyborg,60.7039,28.7549,Russia,117201
2916,Jaén,37.7704,-3.8,Spain,116400
2917,Nizhyn,51.0541,31.8903,Ukraine,116288
2921,Cherkessk,44.2904,42.06,Russia,116224
2926,Yelets,52.58,38.5,Russia,115919
2945,Botoșani,47.7484,26.6597,Romania,114783
2946,Kamyanets-Podilskyy,48.6843,26.5809,Ukraine,114658
2954,Maribor,46.5405,15.65,Slovenia,114228
2962,Kecskemét,46.9,19.7,Hungary,113895
2966,Tobolsk,58.1998,68.2648,Russia,113800
2969,Bærum,59.9135,11.3472,Norway,113659
2975,Exeter,50.7004,-3.53,United Kingdom,113118
2981,Nefteyugansk,61.0777,72.7027,Russia,112632
2984,Satu Mare,47.792,22.885,Romania,112490
2988,Mazyr,52.046,29.2722,Belarus,112137
2994,Zwolle,52.524,6.097,Netherlands,111805
2997,Daugavpils,55.88,26.51,Latvia,111564
3004,Algeciras,36.1267,-5.4665,Spain,111027
3011,Volos,39.37,22.95,Greece,110632
3013,Noyabrsk,63.1665,75.6165,Russia,110572
3028,Bataysk,47.1368,39.7449,Russia,109962
3037,Szombathely,47.2253,16.6287,Hungary,109518
3041,Szolnok,47.1864,20.1794,Hungary,109261
3042,Sergiyev Posad,56.33,38.17,Russia,109252
3047,Leninsk Kuznetsky,54.66,86.17,Russia,109023
3051,Kaposvár,46.367,17.8,Hungary,108528
3057,Kyzyl,51.7067,94.3831,Russia,108240
3059,Oktyabrskiy,54.46,53.46,Russia,108200
3063,Barletta,41.32,16.27,Italy,107830
3064,Trento,46.0804,11.12,Italy,107808
3069,Rimnicu Vilcea,45.11,24.383,Romania,107558
3070,Koszalin,54.2,16.1833,Poland,107450
3071,Obninsk,55.0804,36.62,Russia,107392
3073,Luxembourg,49.6117,6.13,Luxembourg,107260
3075,Västerås,59.63,16.54,Sweden,107194
3076,Chapayevsk,52.9743,49.7243,Russia,107164
3085,Elista,46.3287,44.2087,Russia,106971
3088,Kandalaksha,67.1643,32.4144,Russia,106798
3091,Coimbra,40.2004,-8.4167,Portugal,106582
3092,Drobeta-Turnu Severin,44.6459,22.6659,Romania,106578
3094,Namur,50.4704,4.87,Belgium,106284
3097,Novotroitsk,51.2,58.33,Russia,106186
3103,Derbent,42.0578,48.2774,Russia,105965
3104,Suceava,47.6377,26.2593,Romania,105796
3105,Annecy,45.9,6.1167,France,105749
3113,Lugano,46.0004,8.9667,Switzerland,105388
3120,Focșani,45.6966,27.1865,Romania,105112
3122,Cottbus,51.7704,14.33,Germany,105067
3128,Jena,50.9304,11.58,Germany,104712
3129,Gera,50.8704,12.07,Germany,104659
3132,Brindisi,40.6403,17.93,Italy,104437
3142,Kiselevsk,54.0,86.64,Russia,104000
3152,Konotop,51.2424,33.209,Ukraine,103547
3159,Velikiye Luki,56.32,30.52,Russia,103149
3164,Piatra-Neamt,46.94,26.383,Romania,102688
3165,Grudziądz,53.4804,18.75,Poland,102443
3168,Ukhta,63.56,53.69,Russia,102187
3179,Kansk,56.19,95.71,Russia,101502
3181,Sarapul,56.4791,53.7987,Russia,101344
3182,Maladzyechna,54.3188,26.8653,Belarus,101300
3189,Tartu,58.3839,26.7099,Estonia,101092
3190,Novara,45.45,8.62,Italy,100910
3194,Solikamsk,59.67,56.75,Russia,100812
3198,Glazov,58.1232,52.6288,Russia,100676
3199,Ancona,43.6004,13.4999,Italy,100507
3204,Ust-Ulimsk,57.99,102.6333,Russia,100271
3206,Lida,53.8885,25.2846,Belarus,100216
3209,Subotica,46.07,19.68,Serbia,100000
3219,Zelenodolsk,55.8406,48.655,Russia,99600
3221,Novoshakhtinsk,47.77,39.92,Russia,99478
3229,Tuapse,44.1148,39.0644,Russia,99145
3234,Lahti,60.9939,25.6649,Finland,98826
3239,Votkinsk,57.0304,53.99,Russia,98633
3240,Örebro,59.2803,15.22,Sweden,98573
3241,Serov,59.615,60.585,Russia,98438
3244,Jyväskylä,62.2603,25.75,Finland,98136
3245,Balashov,51.5535,43.1631,Russia,98107
3247,Flensburg,54.7837,9.4333,Germany,97930
3248,Zheleznogorsk,52.3548,35.4044,Russia,97900
3256,Slavonski Brod,45.1603,18.0156,Croatia,97718
3270,Târgu Jiu,45.045,23.274,Romania,97179
3274,Shostka,51.8734,33.4797,Ukraine,96825
3277,Linköping,58.41,15.6299,Sweden,96732
3279,Schwerin,53.6333,11.4167,Germany,96641
3286,Sliven,42.6794,26.33,Bulgaria,96368
3295,Bolzano,46.5004,11.36,Italy,95895
3298,Kuznetsk,53.1204,46.6,Russia,95574
3302,Magadan,59.575,150.81,Russia,95282
3304,Catanzaro,38.9004,16.6,Italy,95251
3307,Osijek,45.5504,18.68,Croatia,95077
3312,Dobrich,43.5851,27.84,Bulgaria,94831
3318,Prešov,48.9997,21.2394,Slovakia,94718
3325,Novy Urengoy,66.0833,76.6332,Russia,94212
3339,Michurinsk,52.9,40.5,Russia,93499
3341,Nazran,43.233,44.783,Russia,93357
3345,Bath,51.3837,-2.35,United Kingdom,93238
3350,Kineshma,57.47,42.13,Russia,92983
3353,Rosenheim,47.8503,12.1333,Germany,92809
3363,Tulcea,45.1993,28.7967,Romania,92475
3367,Santiago de Compostela,42.8829,-8.5411,Spain,92430
3374,Calais,50.9504,1.8333,France,92201
3383,Bugulma,54.5543,52.7943,Russia,91900
3384,Kuopio,62.8943,27.6949,Finland,91900
3388,Arezzo,43.4617,11.875,Italy,91589
3391,Novoaltaysk,53.3993,83.9588,Russia,91386
3395,Helsingborg,56.0505,12.7,Sweden,91304
3396,Mons,50.446,3.939,Belgium,91277
3405,Drammen,59.7572,10.1907,Norway,90722
3407,Klagenfurt,46.6203,14.31,Austria,90610
3413,Gatchina,59.5707,30.1333,Russia,90486
3417,Kirovo-Chepetsk,58.5544,50.0444,Russia,90252
3424,Limerick,52.6647,-8.6231,Ireland,90054
3427,Yegoryevsk,55.3848,39.0294,Russia,89795
3428,Jönköping,57.7713,14.165,Sweden,89780
3431,Vlorë,40.4774,19.4982,Albania,89546
3432,Chester,53.2,-2.92,United Kingdom,89531
3448,Norrköping,58.5954,16.1787,Sweden,88639
3453,Brovary,50.4943,30.7809,Ukraine,88506
3455,Târgoviște,44.938,25.459,Romania,88435
3473,Yeysk,46.6988,38.2634,Russia,87814
3478,Buzuluk,52.7821,52.2618,Russia,87714
3480,Uman,48.7543,30.2109,Ukraine,87658
3482,Žilina,49.2198,18.7494,Slovakia,87625
3489,Shumen,43.27,26.9294,Bulgaria,87283
3504,Bitola,41.0391,21.3395,Macedonia,86528
3507,Ioanina,39.6679,20.8509,Greece,86304
3511,Lorca,37.6886,-1.6985,Spain,86119
3512,Shchekino,54.0143,37.5143,Russia,86088
3517,Poitier,46.5833,0.3333,France,85960
3519,Usolye Sibirskoye,52.765,103.645,Russia,85900
3526,Versailles,48.8005,2.1333,France,85416
3531,Liepaga,56.51,21.01,Latvia,85132
3536,Lorient,47.7504,-3.3666,France,84952
3549,Yurga,55.7258,84.8854,Russia,84220
3555,Anzhero Sudzhensk,56.08,86.04,Russia,83692
3557,Londonderry,55.0004,-7.3333,United Kingdom,83652
3563,Reșița,45.297,21.8865,Romania,83324
3567,Izmayil,45.3503,28.8374,Ukraine,83194
3573,Wiener Neustadt,47.816,16.25,Austria,82762
3578,Pernik,42.61,23.0227,Bulgaria,82467
3584,Gießen,50.5837,8.65,Germany,82358
3585,Troitsk,54.1056,61.5702,Russia,82338
3586,Banská Bystrica,48.7333,19.15,Slovakia,82336
3589,Fier,40.73,19.573,Albania,82297
3590,Polatsk,55.4894,28.786,Belarus,82258
